Id,Category
0,5
1,3
2,8
3,6
4,5
5,12
6,1
7,1
8,3
9,9
10,1
11,3
12,9
13,2
14,10
15,11
16,12
17,8
18,3
19,1
20,9
21,5
22,5
23,6
24,11
25,5
26,3
27,1
28,1
29,5
30,9
31,1
32,2
33,3
34,10
35,12
36,12
37,1
38,7
39,9
40,1
41,12
42,12
43,8
44,9
45,6
46,1
47,10
48,2
49,3
50,12
51,8
52,7
53,2
54,5
55,11
56,1
57,11
58,11
59,7
60,6
61,12
62,1
63,0
64,1
65,0
66,10
67,9
68,3
69,7
70,1
71,0
72,7
73,3
74,1
75,1
76,7
77,12
78,0
79,8
80,3
81,5
82,12
83,10
84,4
85,7
86,5
87,1
88,11
89,3
90,10
91,12
92,5
93,2
94,5
95,4
96,6
97,2
98,0
99,7
100,10
101,4
102,6
103,11
104,10
105,12
106,6
107,11
108,3
109,2
110,1
111,6
112,1
113,0
114,4
115,3
116,6
117,5
118,0
119,4
120,1
121,10
122,10
123,1
124,1
125,7
126,5
127,2
128,11
129,8
130,2
131,11
132,6
133,12
134,5
135,2
136,6
137,6
138,1
139,5
140,2
141,5
142,0
143,9
144,8
145,12
146,5
147,5
148,5
149,12
150,1
151,3
152,5
153,1
154,6
155,4
156,10
157,3
158,3
159,5
160,6
161,3
162,3
163,5
164,11
165,1
166,6
167,1
168,1
169,0
170,6
171,11
172,3
173,7
174,9
175,3
176,3
177,12
178,0
179,5
180,7
181,11
182,5
183,1
184,10
185,6
186,1
187,11
188,1
189,10
190,12
191,12
192,2
193,3
194,1
195,5
196,2
197,6
198,11
199,1
200,7
201,12
202,1
203,7
204,0
205,5
206,10
207,3
208,12
209,5
210,0
211,5
212,5
213,2
214,12
215,3
216,9
217,12
218,5
219,6
220,3
221,11
222,3
223,4
224,3
225,5
226,5
227,6
228,7
229,5
230,3
231,1
232,1
233,6
234,1
235,2
236,5
237,2
238,5
239,3
240,5
241,1
242,6
243,11
244,9
245,1
246,12
247,7
248,3
249,3
250,3
251,0
252,6
253,10
254,9
255,2
256,5
257,5
258,1
259,11
260,3
261,0
262,11
263,1
264,10
265,10
266,3
267,1
268,5
269,2
270,5
271,0
272,12
273,12
274,9
275,7
276,0
277,0
278,9
279,3
280,2
281,11
282,10
283,4
284,5
285,0
286,5
287,5
288,1
289,6
290,9
291,12
292,12
293,1
294,0
295,0
296,5
297,6
298,12
299,4
300,5
301,10
302,5
303,3
304,9
305,5
306,3
307,6
308,1
309,9
310,2
311,1
312,0
313,10
314,2
315,2
316,1
317,1
318,9
319,6
320,7
321,12
322,5
323,7
324,12
325,12
326,3
327,5
328,9
329,3
330,6
331,5
332,0
333,6
334,9
335,7
336,0
337,9
338,6
339,6
340,10
341,9
342,2
343,6
344,7
345,3
346,0
347,10
348,6
349,6
350,11
351,12
352,3
353,1
354,5
355,1
356,12
357,1
358,1
359,12
360,8
361,11
362,6
363,0
364,1
365,11
366,5
367,9
368,1
369,11
370,4
371,1
372,1
373,10
374,1
